Source_Id,Target_Id,Type,Weight
32871,43439,Directed,5
42914,38,Directed,4
39088,94,Directed,4
32871,202,Directed,4
41237,319,Directed,4
36719,325,Directed,4
14822,352,Directed,4
23758,354,Directed,4
39619,587,Directed,4
8954,629,Directed,4
36719,705,Directed,4
23758,773,Directed,4
40358,782,Directed,4
6869,816,Directed,4
40032,858,Directed,4
4375,1071,Directed,4
23758,1074,Directed,4
42037,1208,Directed,4
1504,1275,Directed,4
40902,1284,Directed,4
8954,1467,Directed,4
40032,1576,Directed,4
25177,1672,Directed,4
40032,1672,Directed,4
32610,1707,Directed,4
39619,1794,Directed,4
32610,1801,Directed,4
36719,1940,Directed,4
2039,2039,Directed,4
40976,2102,Directed,4
3665,2128,Directed,4
39088,2170,Directed,4
14123,2293,Directed,4
32610,2321,Directed,4
42037,2346,Directed,4
32871,2372,Directed,4
42517,2454,Directed,4
41821,2499,Directed,4
32610,2524,Directed,4
36719,2525,Directed,4
42068,2689,Directed,4
32420,2734,Directed,4
32871,2742,Directed,4
40457,2796,Directed,4
10149,2815,Directed,4
40497,2849,Directed,4
14576,2860,Directed,4
29805,2860,Directed,4
7295,2991,Directed,4
9403,3041,Directed,4
36719,3093,Directed,4
36719,3391,Directed,4
32611,3418,Directed,4
33919,3456,Directed,4
36719,3475,Directed,4
31790,3498,Directed,4
36719,3566,Directed,4
6787,3570,Directed,4
40032,3589,Directed,4
42517,3614,Directed,4
32837,3616,Directed,4
3047,3642,Directed,4
6400,3758,Directed,4
23758,3861,Directed,4
9491,3869,Directed,4
36719,3881,Directed,4
32203,3952,Directed,4
24754,4051,Directed,4
15531,4075,Directed,4
26912,4280,Directed,4
42037,4512,Directed,4
43259,4530,Directed,4
43259,4556,Directed,4
17670,4573,Directed,4
32871,4608,Directed,4
8855,4674,Directed,4
10827,4774,Directed,4
1686,4837,Directed,4
26480,5039,Directed,4
24754,5111,Directed,4
26480,5152,Directed,4
36719,5163,Directed,4
4374,5212,Directed,4
40032,5212,Directed,4
42914,5253,Directed,4
26480,5272,Directed,4
32611,5297,Directed,4
36719,5304,Directed,4
32611,5359,Directed,4
41013,5486,Directed,4
32611,5573,Directed,4
42037,5604,Directed,4
43259,5634,Directed,4
14576,5653,Directed,4
32611,5658,Directed,4
42263,5711,Directed,4
6303,5785,Directed,4
26480,5790,Directed,4
23758,5919,Directed,4
41013,5999,Directed,4
36719,6024,Directed,4
42148,6037,Directed,4
41013,6168,Directed,4
28551,6180,Directed,4
31900,6189,Directed,4
23758,6423,Directed,4
42037,6498,Directed,4
40032,6508,Directed,4
24754,6572,Directed,4
42914,6588,Directed,4
23758,6638,Directed,4
36719,6646,Directed,4
42148,6657,Directed,4
32610,6677,Directed,4
39088,6677,Directed,4
8954,6698,Directed,4
14123,6737,Directed,4
6303,6741,Directed,4
2416,6852,Directed,4
41866,6937,Directed,4
42250,6980,Directed,4
32610,6996,Directed,4
26912,7000,Directed,4
1278,7078,Directed,4
32871,7236,Directed,4
40902,7387,Directed,4
32001,7423,Directed,4
38112,7552,Directed,4
4001,7595,Directed,4
8954,7595,Directed,4
26480,7595,Directed,4
24754,7600,Directed,4
32610,7601,Directed,4
17585,7673,Directed,4
32611,7770,Directed,4
41667,7770,Directed,4
25177,7870,Directed,4
32610,7974,Directed,4
29805,8069,Directed,4
1355,8190,Directed,4
36719,8402,Directed,4
42914,8557,Directed,4
1355,8569,Directed,4
32841,8633,Directed,4
40596,8717,Directed,4
26912,8764,Directed,4
32871,8778,Directed,4
8954,8884,Directed,4
36719,8942,Directed,4
42517,9158,Directed,4
33946,9374,Directed,4
30084,9458,Directed,4
3665,9565,Directed,4
29117,9730,Directed,4
23758,9763,Directed,4
14123,9787,Directed,4
36719,9790,Directed,4
9096,9818,Directed,4
25370,9818,Directed,4
23758,9868,Directed,4
36719,9908,Directed,4
36719,9972,Directed,4
42470,9972,Directed,4
25370,9985,Directed,4
32871,10096,Directed,4
31343,10142,Directed,4
6869,10224,Directed,4
39088,10255,Directed,4
32203,10265,Directed,4
23758,10275,Directed,4
39088,10450,Directed,4
32871,10640,Directed,4
32611,10682,Directed,4
10689,10689,Directed,4
8954,10761,Directed,4
6303,10836,Directed,4
32871,10949,Directed,4
36719,10973,Directed,4
36719,10980,Directed,4
32871,10988,Directed,4
35157,11125,Directed,4
2567,11239,Directed,4
36719,11316,Directed,4
1355,11351,Directed,4
42353,11420,Directed,4
41316,11501,Directed,4
42517,11669,Directed,4
6869,11745,Directed,4
42037,11877,Directed,4
32871,11908,Directed,4
36719,11938,Directed,4
32611,11954,Directed,4
12612,11956,Directed,4
36719,11986,Directed,4
43259,12076,Directed,4
42148,12248,Directed,4
23758,12339,Directed,4
32871,12480,Directed,4
24754,12484,Directed,4
38140,12517,Directed,4
23758,12560,Directed,4
36719,12607,Directed,4
8954,12630,Directed,4
32610,12684,Directed,4
37841,12917,Directed,4
36719,12961,Directed,4
8549,13087,Directed,4
42148,13126,Directed,4
23758,13133,Directed,4
26912,13286,Directed,4
39619,13296,Directed,4
43259,13399,Directed,4
23758,13415,Directed,4
36719,13423,Directed,4
13434,13434,Directed,4
26912,13498,Directed,4
8954,13707,Directed,4
36719,13708,Directed,4
32610,13747,Directed,4
40032,13747,Directed,4
36719,13759,Directed,4
32871,13921,Directed,4
39088,13955,Directed,4
42037,14065,Directed,4
41884,14083,Directed,4
43385,14180,Directed,4
1686,14269,Directed,4
8954,14274,Directed,4
6787,14364,Directed,4
36719,14386,Directed,4
23758,14398,Directed,4
26912,14434,Directed,4
40793,14467,Directed,4
42069,14483,Directed,4
39619,14564,Directed,4
8954,14568,Directed,4
9403,14635,Directed,4
26480,14683,Directed,4
32611,14695,Directed,4
8954,14812,Directed,4
43259,14864,Directed,4
28551,14922,Directed,4
24754,14958,Directed,4
32611,15058,Directed,4
42517,15161,Directed,4
32611,15180,Directed,4
23758,15283,Directed,4
41983,15384,Directed,4
42610,15387,Directed,4
42148,15514,Directed,4
32871,15551,Directed,4
26912,15653,Directed,4
40358,15660,Directed,4
23758,15731,Directed,4
40635,15930,Directed,4
36719,15932,Directed,4
8954,15962,Directed,4
32611,16008,Directed,4
26480,16205,Directed,4
39180,16210,Directed,4
25177,16262,Directed,4
32613,16551,Directed,4
42914,16597,Directed,4
40872,16614,Directed,4
8954,16643,Directed,4
40032,16656,Directed,4
32610,16720,Directed,4
32610,16752,Directed,4
8954,16828,Directed,4
33199,16911,Directed,4
8954,17026,Directed,4
8954,17140,Directed,4
23758,17160,Directed,4
7036,17183,Directed,4
32871,17395,Directed,4
24754,17469,Directed,4
42187,17480,Directed,4
43415,17553,Directed,4
42586,17696,Directed,4
32203,17780,Directed,4
3665,17812,Directed,4
32610,17818,Directed,4
26480,18180,Directed,4
40032,18186,Directed,4
23758,18267,Directed,4
25177,18288,Directed,4
23758,18385,Directed,4
8954,18613,Directed,4
42037,18761,Directed,4
23758,18902,Directed,4
1686,18910,Directed,4
36087,18968,Directed,4
40596,19001,Directed,4
32611,19094,Directed,4
32871,19094,Directed,4
32610,19162,Directed,4
40902,19224,Directed,4
24754,19307,Directed,4
8954,19338,Directed,4
43148,19388,Directed,4
32871,19395,Directed,4
42610,19456,Directed,4
42914,19457,Directed,4
23758,19493,Directed,4
36719,19516,Directed,4
17670,19613,Directed,4
17670,19655,Directed,4
32871,19659,Directed,4
12201,19702,Directed,4
32611,19759,Directed,4
32610,19844,Directed,4
42189,19879,Directed,4
